"図鑑番号","ポケモン名","HP","A","B","C","D","S","タイプ１","タイプ２","通常特性１","通常特性２","夢特性","合計","重さ(kg)","体重技威力"
"215","ニューラ","55","95","55","35","75","115","悪","氷","せいしんりょく"," するどいめ","わるいてぐせ","430","28","60"
"216","ヒメグマ","60","80","50","50","50","40","ノ","-","ものひろい"," はやあし","みつあつめ","330","8.8","20"
"217","リングマ","90","130","75","75","75","55","ノ","-","こんじょう"," はやあし","きんちょうかん","500","125.8","100"
"218","マグマッグ","40","40","40","70","40","20","炎","-","マグマのよろい"," ほのおのからだ","くだけるよろい","250","35","60"
"219","マグカルゴ","60","50","120","90","80","30","炎","岩","マグマのよろい"," ほのおのからだ","くだけるよろい","430","55","80"
"220","ウリムー","50","50","40","30","30","50","氷","地","どんかん"," ゆきがくれ","あついしぼう","250","6.5","20"
"221","イノムー","100","100","80","60","60","50","氷","地","どんかん"," ゆきがくれ","あついしぼう","450","55.8","80"
"222","サニーゴ","65","55","95","65","95","35","水","岩","はりきり"," しぜんかいふく","さいせいりょく","410","5","20"
"222-1","サニーゴ_G","60","55","100","65","100","30","霊","-","くだけるよろい","-","のろわれボディ","410","0.5","20"
"223","テッポウオ","35","65","35","65","35","65","水","-","はりきり"," スナイパー","ムラっけ","300","12","40"
"224","オクタン","75","105","75","105","75","45","水","-","きゅうばん"," スナイパー","ムラっけ","480","28.5","60"
"225","デリバード","45","55","45","65","45","75","氷","飛","やるき"," はりきり","ふみん","330","16","40"
"226","マンタイン","85","40","70","80","140","70","水","飛","すいすい"," ちょすい","みずのベール","485","220","120"
"227","エアームド","65","80","140","40","70","70","鋼","飛","するどいめ"," がんじょう","くだけるよろい","465","50.5","80"
"228","デルビル","45","60","30","80","50","65","悪","炎","はやおき"," もらいび","きんちょうかん","330","10.8","40"
"229","ヘルガー","75","90","50","110","80","95","悪","炎","はやおき"," もらいび","きんちょうかん","500","35","60"
"229-1","メガヘルガー","75","90","90","140","90","115","悪","炎","サンパワー","-","-","600","49.5","80"
"230","キングドラ","75","95","95","95","95","85","水","竜","すいすい"," スナイパー","しめりけ","540","152","100"
"231","ゴマゾウ","90","60","60","40","40","40","地","-","ものひろい","-","すながくれ","330","33.5","60"
"232","ドンファン","90","120","120","60","60","50","地","-","がんじょう","-","すながくれ","500","120","100"
"233","ポリゴン２","85","80","90","105","95","60","ノ","-","トレース"," ダウンロード","アナライズ","515","32.5","60"
"234","オドシシ","73","95","62","85","65","85","ノ","-","いかく"," おみとおし","そうしょく","465","71.2","80"
"235","ドーブル","55","20","35","20","45","75","ノ","-","マイペース"," テクニシャン","ムラっけ","250","58","80"
"236","バルキー","35","35","35","35","35","35","格","-","こんじょう"," ふくつのこころ","やるき","210","21","40"
"237","カポエラー","50","95","95","35","110","70","格","-","いかく"," テクニシャン","ふくつのこころ","455","48","80"
"238","ムチュール","45","30","15","85","65","65","氷","超","どんかん"," よちむ","うるおいボディ","305","6","20"
"239","エレキッド","45","63","37","65","55","95","電","-","せいでんき","-","やるき","360","23.5","40"
"240","ブビィ","45","75","37","70","55","83","炎","-","ほのおのからだ","-","やるき","365","21.4","40"
"241","ミルタンク","95","80","105","40","70","100","ノ","-","あついしぼう"," きもったま","そうしょく","490","75.5","80"
"242","ハピナス","255","10","10","75","135","55","ノ","-","しぜんかいふく"," てんのめぐみ","いやしのこころ","540","46.8","80"
"243","ライコウ","90","85","75","115","100","115","電","-","プレッシャー","-","せいしんりょく","580","178","100"
"244","エンテイ","115","115","85","90","75","100","炎","-","プレッシャー","-","せいしんりょく","580","198","100"
"245","スイクン","100","75","115","90","115","85","水","-","プレッシャー","-","せいしんりょく","580","187","100"
"246","ヨーギラス","50","64","50","45","50","41","岩","地","こんじょう","-","すながくれ","300","72","80"
"247","サナギラス","70","84","70","65","70","51","岩","地","だっぴ","-","だっぴ","410","152","100"
"248","バンギラス","100","134","110","95","100","61","岩","悪","すなおこし","-","きんちょうかん","600","202","120"
"248-1","メガバンギラス","100","164","150","95","120","71","岩","悪","すなおこし","-","-","700","255","120"
"249","ルギア","106","90","130","90","154","110","超","飛","プレッシャー","-","マルチスケイル","680","216","120"
"250","ホウオウ","106","130","90","110","154","90","炎","飛","プレッシャー","-","さいせいりょく","680","199","100"
"251","セレビィ","100","100","100","100","100","100","超","虫","しぜんかいふく","-","-","600","5","20"
"252","キモリ","40","45","35","65","55","70","草","-","しんりょく","-","かるわざ","310","5","20"
"253","ジュプトル","50","65","45","85","65","95","草","-","しんりょく","-","かるわざ","405","21.6","40"
"254","ジュカイン","70","85","65","105","85","120","草","-","しんりょく","-","かるわざ","530","52.2","80"
"254-1","メガジュカイン","70","110","75","145","85","145","草","竜","ひらいしん","-","-","630","55.2","80"
"255","アチャモ","45","60","40","70","50","45","炎","-","もうか","-","かそく","310","2.5","20"
"256","ワカシャモ","60","85","60","85","60","55","炎","格","もうか","-","かそく","405","19.5","40"
"257","バシャーモ","80","120","70","110","70","80","炎","格","もうか","-","かそく","530","52","80"
"257-1","メガバシャーモ","80","160","80","130","80","100","炎","格","かそく","-","-","630","52","80"
"258","ミズゴロウ","50","70","50","50","50","40","水","-","げきりゅう","-","しめりけ","310","7.6","20"
"259","ヌマクロー","70","85","70","60","70","50","水","地","げきりゅう","-","しめりけ","405","28","60"
"260","ラグラージ","100","110","90","85","90","60","水","地","げきりゅう","-","しめりけ","535","81.9","80"
"260-1","メガラグラージ","100","150","110","95","110","70","水","地","すいすい","-","-","635","102","100"
"261","ポチエナ","35","55","35","30","30","35","悪","-","にげあし"," はやあし","びびり","220","13.6","40"
"262","グラエナ","70","90","70","60","60","70","悪","-","いかく"," はやあし","じしんかじょう","420","37","60"
"263","ジグザグマ","38","30","41","30","41","60","ノ","-","ものひろい"," くいしんぼう","はやあし","240","17.5","40"
"263-1","ジグザグマ_G","38","30","41","30","41","60","悪","ノ","ものひろい"," くいしんぼう","はやあし","240","17.5","40"
"264","マッスグマ","78","70","61","50","61","100","ノ","-","ものひろい"," くいしんぼう","はやあし","420","32.5","60"
"264-1","マッスグマ_G","78","70","61","50","61","100","悪","ノ","ものひろい"," くいしんぼう","はやあし","420","32.5","60"
"265","ケムッソ","45","45","35","20","30","20","虫","-","りんぷん","-","にげあし","195","3.6","20"
"266","カラサリス","50","35","55","25","25","15","虫","-","だっぴ","-","だっぴ","205","10","40"
"267","アゲハント","60","70","50","100","50","65","虫","飛","むしのしらせ","-","とうそうしん","395","28.4","60"
"268","マユルド","50","35","55","25","25","15","虫","-","だっぴ","-","だっぴ","205","11.5","40"
"269","ドクケイル","60","50","70","50","90","65","虫","毒","りんぷん","-","ふくがん","385","31.6","60"
"270","ハスボー","40","30","30","40","50","30","水","虫","すいすい"," あめうけざら","マイペース","220","2.6","20"
"271","ハスブレロ","60","50","50","60","70","50","水","虫","すいすい"," あめうけざら","マイペース","340","32.5","60"
"272","ルンパッパ","80","70","70","90","100","70","水","虫","すいすい"," あめうけざら","マイペース","480","55","80"
"273","タネボー","40","40","50","30","30","30","草","-","ようりょくそ"," はやおき","わるいてぐせ","220","4","20"
"274","コノハナ","70","70","40","60","40","60","草","悪","ようりょくそ"," はやおき","わるいてぐせ","340","28","60"
"275","ダーテング","90","100","60","90","60","80","草","悪","ようりょくそ"," はやおき","わるいてぐせ","480","59.6","80"
"276","スバメ","40","55","30","30","30","85","ノ","飛","こんじょう","-","きもったま","270","2.3","20"
"277","オオスバメ","60","85","60","75","50","125","ノ","飛","こんじょう","-","きもったま","455","19.8","40"
"278","キャモメ","40","30","30","55","30","85","水","飛","するどいめ"," うるおいボディ","あめうけざら","270","9.5","20"
"279","ペリッパー","60","50","100","95","70","65","水","飛","するどいめ"," あめふらし","あめうけざら","440","28","60"
"280","ラルトス","28","25","25","45","35","40","超","妖","シンクロ"," トレース","テレパシー","198","6.6","20"
"281","キルリア","38","35","35","65","55","50","超","妖","シンクロ"," トレース","テレパシー","278","20.2","40"
"282","サーナイト","68","65","65","125","115","80","超","妖","シンクロ"," トレース","テレパシー","518","48.4","80"
"282-1","メガサーナイト","68","85","65","165","135","100","超","妖","フェアリースキン","-","-","618","48.4","80"
"283","アメタマ","40","30","32","50","52","65","虫","水","すいすい","-","あめうけざら","269","1.7","20"
"284","アメモース","70","60","62","100","82","80","虫","飛","いかく","-","きんちょうかん","454","3.6","20"
"285","キノココ","60","40","60","40","60","35","草","-","ほうし"," ポイズンヒール","はやあし","295","4.5","20"
"286","キノガッサ","60","130","80","60","60","70","草","格","ほうし"," ポイズンヒール","テクニシャン","460","39.2","60"
"287","ナマケロ","60","60","60","35","35","30","ノ","-","なまけ","-","-","280","24","40"
"288","ヤルキモノ","80","80","80","55","55","90","ノ","-","やるき","-","-","440","46.5","80"
"289","ケッキング","150","160","100","95","65","100","ノ","-","なまけ","-","-","670","130.5","100"
"290","ツチニン","31","45","90","30","30","40","虫","地","ふくがん","-","にげあし","266","5.5","20"
"291","テッカニン","61","90","45","50","50","160","虫","飛","かそく","-","すりぬけ","456","12","40"
"292","ヌケニン","1","90","45","30","30","40","虫","霊","ふしぎなまもり","-","ふしぎなまもり","236","1.2","20"
"293","ゴニョニョ","64","51","23","51","23","28","ノ","-","ぼうおん","-","びびり","240","16.3","40"
"294","ドゴーム","84","71","43","71","43","48","ノ","-","ぼうおん","-","きもったま","360","40.5","80"
"295","バクオング","104","91","63","91","73","68","ノ","-","ぼうおん","-","きもったま","490","84","80"
"296","マクノシタ","72","60","30","20","30","25","格","-","あついしぼう"," こんじょう","ちからずく","237","86.4","80"
"297","ハリテヤマ","144","120","60","40","60","50","格","-","あついしぼう"," こんじょう","ちからずく","474","253.8","120"
"298","ルリリ","50","20","40","20","40","20","ノ","妖","あついしぼう"," ちからもち","そうしょく","190","2","20"
"299","ノズパス","30","45","135","45","90","30","岩","-","がんじょう"," じりょく","すなのちから","375","97","80"
"300","エネコ","50","45","45","35","35","50","ノ","-","メロメロボディ"," ノーマルスキン","ミラクルスキン","260","11","40"
"301","エネコロロ","70","65","65","55","55","90","ノ","-","メロメロボディ"," ノーマルスキン","ミラクルスキン","400","32.6","60"
"302","ヤミラミ","50","75","75","65","65","50","悪","霊","するどいめ"," あとだし","いたずらごころ","380","11","40"
"302-1","メガヤミラミ","50","85","125","85","115","20","悪","霊","マジックミラー","-","-","480","161","100"
"303","クチート","50","85","85","55","55","50","鋼","妖","かいりきバサミ"," いかく","ちからずく","380","11.5","40"
"303-1","メガクチート","50","105","125","55","95","50","鋼","妖","ちからもち","-","-","480","23.5","40"
"304","ココドラ","50","70","100","40","40","30","鋼","岩","がんじょう"," いしあたま","ヘヴィメタル","330","60","80"
"305","コドラ","60","90","140","50","50","40","鋼","岩","がんじょう"," いしあたま","ヘヴィメタル","430","120","100"
"306","ボスゴドラ","70","110","180","60","60","50","鋼","岩","がんじょう"," いしあたま","ヘヴィメタル","530","360","120"
"306-1","メガボスゴドラ","70","140","230","60","80","50","鋼","-","フィルター","-","-","630","395","120"
"307","アサナン","30","40","55","40","55","60","格","超","ヨガパワー","-","テレパシー","280","11.2","40"
"308","チャーレム","60","60","75","60","75","80","格","超","ヨガパワー","-","テレパシー","410","31.5","60"
"308-1","メガチャーレム","60","100","85","80","85","100","格","超","ヨガパワー","-","-","510","31.5","60"
"309","ラクライ","40","45","40","65","40","65","電","-","せいでんき"," ひらいしん","マイナス","295","15.2","40"
"310","ライボルト","70","75","60","105","60","105","電","-","せいでんき"," ひらいしん","マイナス","475","40.2","80"
"310-1","メガライボルト","70","75","80","135","80","135","電","-","いかく","-","-","575","44","80"
"311","プラスル","60","50","40","85","75","95","電","-","プラス","-","ひらいしん","405","4.2","20"
"312","マイナン","60","40","50","75","85","95","電","-","マイナス","-","ちくでん","405","4.2","20"
"313","バルビート","65","73","75","47","85","85","虫","-","はっこう"," むしのしらせ","いたずらごころ","430","17.7","40"
"314","イルミーゼ","65","47","75","73","85","85","虫","-","どんかん"," いろめがね","いたずらごころ","430","17.7","40"
"315","ロゼリア","50","60","45","100","80","65","草","毒","しぜんかいふく"," どくのトゲ","リーフガード","400","2","20"
"316","ゴクリン","70","43","53","43","53","40","毒","-","ヘドロえき"," ねんちゃく","くいしんぼう","302","10.3","40"
"317","マルノーム","100","73","83","73","83","55","毒","-","ヘドロえき"," ねんちゃく","くいしんぼう","467","80","80"
"318","キバニア","45","90","20","65","20","65","水","悪","さめはだ","-","かそく","305","20.8","40"
"319","サメハダー","70","120","40","95","40","95","水","悪","さめはだ","-","かそく","460","88.8","80"
"319-1","メガサメハダー","70","140","70","110","65","105","水","悪","がんじょうあご","-","-","560","130.3","100"
"320","ホエルコ","130","70","35","70","35","60","水","-","みずのベール"," どんかん","プレッシャー","400","130","100"
"321","ホエルオー","170","90","45","90","45","60","水","-","みずのベール"," どんかん","プレッシャー","500","398","120"
"322","ドンメル","60","60","40","65","45","35","炎","地","どんかん"," たんじゅん","マイペース","305","24","40"
"323","バクーダ","70","100","70","105","75","40","炎","地","マグマのよろい"," ハードロック","いかりのつぼ","460","220","120"
"323-1","メガバクーダ","70","120","100","145","105","20","炎","地","ちからずく","-","-","560","320.5","120"
"324","コータス","70","85","140","85","70","20","炎","-","しろいけむり"," ひでり","シェルアーマー","470","80.4","80"
"325","バネブー","60","25","35","70","80","60","超","-","あついしぼう"," マイペース","くいしんぼう","330","30.6","60"
"326","ブーピッグ","80","45","65","90","110","80","超","-","あついしぼう"," マイペース","くいしんぼう","470","71.5","80"
"327","パッチール","60","60","60","60","60","60","ノ","-","マイペース"," ちどりあし","あまのじゃく","360","5","20"
"328","ナックラー","45","100","45","45","45","10","地","-","かいりきバサミ"," ありじごく","ちからずく","290","15","40"
"329","ビブラーバ","50","70","50","50","50","70","地","竜","ふゆう","-","ふゆう","340","15.3","40"
"330","フライゴン","80","100","80","80","80","100","地","竜","ふゆう","-","ふゆう","520","82","80"
"331","サボネア","50","85","40","85","40","35","草","-","すながくれ","-","ちょすい","335","51.3","80"
"332","ノクタス","70","115","60","115","60","55","草","悪","すながくれ","-","ちょすい","475","77.4","80"
"333","チルット","45","40","60","40","75","50","ノ","飛","しぜんかいふく","-","ノーてんき","310","1.2","20"
"334","チルタリス","75","70","90","70","105","80","竜","飛","しぜんかいふく","-","ノーてんき","490","20.6","40"
"334-1","メガチルタリス","75","110","110","110","105","80","竜","妖","フェアリースキン","-","-","590","20.6","40"
"335","ザングース","73","115","60","60","60","90","ノ","-","めんえき","-","どくぼうそう","458","40.3","80"
"336","ハブネーク","73","100","60","100","60","65","毒","-","だっぴ","-","すりぬけ","458","52.5","80"
"337","ルナトーン","90","55","65","95","85","70","岩","超","ふゆう","-","-","460","168","100"
"338","ソルロック","90","95","85","55","65","70","岩","超","ふゆう","-","-","460","154","100"
"339","ドジョッチ","50","48","43","46","41","60","水","地","どんかん"," きけんよち","うるおいボディ","288","1.9","20"
"340","ナマズン","110","78","73","76","71","60","水","地","どんかん"," きけんよち","うるおいボディ","468","23.6","40"
"341","ヘイガニ","43","80","65","50","35","35","水","-","かいりきバサミ"," シェルアーマー","てきおうりょく","308","11.5","40"
"342","シザリガー","63","120","85","90","55","55","水","悪","かいりきバサミ"," シェルアーマー","てきおうりょく","468","32.8","60"
"343","ヤジロン","40","40","55","40","70","55","地","超","ふゆう","-","-","300","21.5","40"
"344","ネンドール","60","70","105","70","120","75","地","超","ふゆう","-","-","500","108","100"
"345","リリーラ","66","41","77","61","87","23","岩","草","きゅうばん","-","よびみず","355","23.8","40"
"346","ユレイドル","86","81","97","81","107","43","岩","草","きゅうばん","-","よびみず","495","60.4","80"
"347","アノプス","45","95","50","40","50","75","岩","虫","カブトアーマー","-","すいすい","355","12.5","40"
"348","アーマルド","75","125","100","70","80","45","岩","虫","カブトアーマー","-","すいすい","495","68.2","80"
"349","ヒンバス","20","15","20","10","55","80","水","-","すいすい"," どんかん","てきおうりょく","200","7.4","20"
"350","ミロカロス","95","60","79","100","125","81","水","-","ふしぎなうろこ"," かちき","メロメロボディ","540","162","100"
"351","ポワルン","70","70","70","70","70","70","ノ","-","てんきや","-","-","420","0.8","20"
"352","カクレオン","60","90","70","60","120","40","ノ","-","へんしょく","-","へんげんじざい","440","22","40"
"353","カゲボウズ","44","75","35","63","33","45","霊","-","ふみん"," おみとおし","のろわれボディ","295","2.3","20"
"354","ジュペッタ","64","115","65","83","63","65","霊","-","ふみん"," おみとおし","のろわれボディ","455","12.5","40"
"354-1","メガジュペッタ","64","165","75","93","83","75","霊","-","いたずらごころ","-","-","555","13","40"
"355","ヨマワル","20","40","90","30","90","25","霊","-","ふゆう","-","おみとおし","295","15","40"
"356","サマヨール","40","70","130","60","130","25","霊","-","プレッシャー","-","おみとおし","455","30.6","60"
"357","トロピウス","99","68","83","72","87","51","草","飛","ようりょくそ"," サンパワー","しゅうかく","460","100","100"
"358","チリーン","75","50","80","95","90","65","超","-","ふゆう","-","-","455","1","20"
"359","アブソル","65","130","60","75","60","75","悪","-","プレッシャー"," きょううん","せいぎのこころ","465","47","80"
"359-1","メガアブソル","65","150","60","115","60","115","悪","-","マジックミラー","-","-","565","49","80"
"360","ソーナノ","95","23","48","23","48","23","超","-","かげふみ","-","テレパシー","260","14","40"
"361","ユキワラシ","50","50","50","50","50","50","氷","-","せいしんりょく"," アイスボディ","ムラっけ","300","16.8","40"
"362","オニゴーリ","80","80","80","80","80","80","氷","-","せいしんりょく"," アイスボディ","ムラっけ","480","256.5","120"
"362-1","メガオニゴーリ","80","120","80","120","80","100","氷","-","フリーズスキン","-","-","580","350.2","120"
"363","タマザラシ","70","40","50","55","50","25","氷","水","あついしぼう"," アイスボディ","どんかん","290","39.5","60"
"364","トドグラー","90","60","70","75","70","45","氷","水","あついしぼう"," アイスボディ","どんかん","410","87.6","80"
"365","トドゼルガ","110","80","90","95","90","65","氷","水","あついしぼう"," アイスボディ","どんかん","530","150.6","100"
"366","パールル","35","64","85","74","55","32","水","-","シェルアーマー","-","びびり","345","52.5","80"
"367","ハンテール","55","104","105","94","75","52","水","-","すいすい","-","みずのベール","485","27","60"
"368","サクラビス","55","84","105","114","75","52","水","-","すいすい","-","うるおいボディ","485","22.6","40"
"369","ジーランス","100","90","130","45","65","55","水","岩","すいすい"," いしあたま","がんじょう","485","23.4","40"
"370","ラブカス","43","30","55","40","65","97","水","-","すいすい","-","うるおいボディ","330","8.7","20"
"371","タツベイ","45","75","60","40","30","50","竜","-","いしあたま","-","ちからずく","300","42.1","80"
"372","コモルー","65","95","100","60","50","50","竜","-","いしあたま","-","ぼうじん","420","110.5","100"
"373","ボーマンダ","95","135","80","110","80","100","竜","飛","いかく","-","じしんかじょう","600","102.6","100"
"373-1","メガボーマンダ","95","145","130","120","90","120","竜","飛","スカイスキン","-","-","700","112.6","100"
"374","ダンバル","40","55","80","35","60","30","鋼","超","クリアボディ","-","ライトメタル","300","95.2","80"
"375","メタング","60","75","100","55","80","50","鋼","超","クリアボディ","-","ライトメタル","420","202.5","120"
"376","メタグロス","80","135","130","95","90","70","鋼","超","クリアボディ","-","ライトメタル","600","550","120"
"376-1","メガメタグロス","80","145","150","105","110","110","鋼","超","かたいツメ","-","-","700","942.9","120"
"377","レジロック","80","100","200","50","100","50","岩","-","クリアボディ","-","がんじょう","580","230","120"
"378","レジアイス","80","50","100","100","200","50","氷","-","クリアボディ","-","アイスボディ","580","175","100"
"379","レジスチル","80","75","150","75","150","50","鋼","-","クリアボディ","-","ライトメタル","580","205","120"
"380","ラティアス","80","80","90","110","130","110","竜","超","ふゆう","-","-","600","40","80"
"380-1","メガラティアス","80","100","120","140","150","110","竜","超","ふゆう","-","-","700","52","80"
"381","ラティオス","80","90","80","130","110","110","竜","超","ふゆう","-","-","600","60","80"
"381-1","メガラティオス","80","130","100","160","120","110","竜","超","ふゆう","-","-","700","70","80"
"382","カイオーガ","100","100","90","150","140","90","水","-","あめふらし","-","-","670","352","120"
"382-1","ゲンシカイオーガ","100","150","90","180","160","90","水","-","はじまりのうみ","-","-","770","430","120"
"383","グラードン","100","150","140","100","90","90","地","-","ひでり","-","-","670","950","120"
"383-1","ゲンシグラードン","100","180","160","150","90","90","地","炎","おわりのだいち","-","-","770","999.7","120"
"384","レックウザ","105","150","90","150","90","95","竜","飛","エアロック","-","-","680","206.5","120"
"384-1","メガレックウザ","105","180","100","180","100","115","竜","飛","デルタストリーム","-","-","780","392","120"
"385","ジラーチ","100","100","100","100","100","100","鋼","超","てんのめぐみ","-","-","600","1.1","20"
"386","デオキシスN","50","150","50","150","50","150","超","-","プレッシャー","-","-","600","60.8","80"
"386-1","デオキシスA","50","180","20","180","20","150","超","-","プレッシャー","-","-","600","60.8","80"
"386-2","デオキシスD","50","70","160","70","160","90","超","-","プレッシャー","-","-","600","60.8","80"
"386-3","デオキシスS","50","95","90","95","90","180","超","-","プレッシャー","-","-","600","60.8","80"
"387","ナエトル","55","68","64","45","55","31","草","-","しんりょく","-","シェルアーマー","318","10.2","40"
"388","ハヤシガメ","75","89","85","55","65","36","草","-","しんりょく","-","シェルアーマー","405","97","80"
"389","ドダイトス","95","109","105","75","85","56","草","地","しんりょく","-","シェルアーマー","525","310","120"
"390","ヒコザル","44","58","44","58","44","61","炎","-","もうか","-","てつのこぶし","309","6.2","20"
"391","モウカザル","64","78","52","78","52","81","炎","格","もうか","-","てつのこぶし","405","22","40"
"392","ゴウカザル","76","104","71","104","71","108","炎","格","もうか","-","てつのこぶし","534","55","80"
"393","ポッチャマ","53","51","53","61","56","40","水","-","げきりゅう","-","まけんき","314","5.2","20"
"394","ポッタイシ","64","66","68","81","76","50","水","-","げきりゅう","-","まけんき","405","23","40"
"395","エンペルト","84","86","88","111","101","60","水","鋼","げきりゅう","-","まけんき","530","84.5","80"
"396","ムックル","40","55","30","30","30","60","ノ","飛","するどいめ","-","すてみ","245","2","20"
"397","ムクバード","55","75","50","40","40","80","ノ","飛","いかく","-","すてみ","340","15.5","40"
"398","ムクホーク","85","120","70","50","60","100","ノ","飛","いかく","-","すてみ","485","24.9","40"
"399","ビッパ","59","45","40","35","40","31","ノ","-","たんじゅん"," てんねん","ムラっけ","250","20","40"
"400","ビーダル","79","85","60","55","60","71","ノ","水","たんじゅん"," てんねん","ムラっけ","410","31.5","60"
"401","コロボーシ","37","25","41","25","41","25","虫","-","だっぴ","-","にげあし","194","2.2","20"
"402","コロトック","77","85","51","55","51","65","虫","-","むしのしらせ","-","テクニシャン","384","25.5","60"
"403","コリンク","45","65","34","40","34","45","電","-","とうそうしん"," いかく","こんじょう","263","9.5","20"
"404","ルクシオ","60","85","49","60","49","60","電","-","とうそうしん"," いかく","こんじょう","363","30.5","60"
"405","レントラー","80","120","79","95","79","70","電","-","とうそうしん"," いかく","こんじょう","523","42","80"
"406","スボミー","40","30","35","50","70","55","草","毒","しぜんかいふく"," どくのトゲ","リーフガード","280","1.2","20"
"407","ロズレイド","60","70","65","125","105","90","草","毒","しぜんかいふく"," どくのトゲ","テクニシャン","515","14.5","40"
"408","ズガイドス","67","125","40","30","30","58","岩","-","かたやぶり","-","ちからずく","350","31.5","60"
"409","ラムパルド","97","165","60","65","50","58","岩","-","かたやぶり","-","ちからずく","495","102.5","100"
"410","タテトプス","30","42","118","42","88","30","岩","鋼","がんじょう","-","ぼうおん","350","57","80"
"411","トリデプス","60","52","168","47","138","30","岩","鋼","がんじょう","-","ぼうおん","495","149.5","100"
"412","ミノムッチ","40","29","45","29","45","36","虫","-","だっぴ","-","ぼうじん","224","3.4","20"
"413","ミノマダム草","60","59","85","79","105","36","虫","草","きけんよち","-","ぼうじん","424","6.5","20"
"413-1","ミノマダム地","60","79","105","59","85","36","虫","地","きけんよち","-","ぼうじん","424","6.5","20"
"413-2","ミノマダム鋼","60","69","95","69","95","36","虫","鋼","きけんよち","-","ぼうじん","424","6.5","20"
"414","ガーメイル","70","94","50","94","50","66","虫","飛","むしのしらせ","-","いろめがね","424","23.3","40"
"415","ミツハニー","30","30","42","30","42","70","虫","飛","みつあつめ","-","はりきり","244","5.5","20"
"416","ビークイン","70","80","102","80","102","40","虫","飛","プレッシャー","-","きんちょうかん","474","38.5","60"
"417","パチリス","60","45","70","45","90","95","電","-","にげあし"," ものひろい","ちくでん","405","3.9","20"
"418","ブイゼル","55","65","35","60","30","85","水","-","すいすい","-","みずのベール","330","29.5","60"
"419","フローゼル","85","105","55","85","50","115","水","-","すいすい","-","みずのベール","495","33.5","60"
"420","チェリンボ","45","35","45","62","53","35","草","-","ようりょくそ","-","-","275","3.3","20"
"421","チェリム","70","60","70","87","78","85","草","-","フラワーギフト","-","-","450","9.3","20"
"422","カラナクシ","76","48","48","57","62","34","水","-","ねんちゃく"," よびみず","すなのちから","325","6.3","20"
"423","トリトドン","111","83","68","92","82","39","水","地","ねんちゃく"," よびみず","すなのちから","475","29.9","60"
"424","エテボース","75","100","66","60","66","115","ノ","-","テクニシャン"," ものひろい","スキルリンク","482","20.3","40"
"425","フワンテ","90","50","34","60","44","70","霊","飛","ゆうばく"," かるわざ","ねつぼうそう","348","1.2","20"
"426","フワライド","150","80","44","90","54","80","霊","飛","ゆうばく"," かるわざ","ねつぼうそう","498","15","40"
"427","ミミロル","55","66","44","44","56","85","ノ","-","にげあし"," ぶきよう","じゅうなん","350","5.5","20"
"428","ミミロップ","65","76","84","54","96","105","ノ","-","メロメロボディ"," ぶきよう","じゅうなん","480","33.3","60"
"428-1","メガミミロップ","65","136","94","54","96","135","ノ","格","きもったま","-","-","580","28.3","60"
"429","ムウマージ","60","60","60","105","105","105","霊","-","ふゆう","-","-","495","4.4","20"
"430","ドンカラス","100","125","52","105","52","71","悪","飛","ふみん"," きょううん","じしんかじょう","505","27.3","60"
"431","ニャルマー","49","55","42","42","37","85","ノ","-","じゅうなん"," マイペース","するどいめ","310","3.9","20"
"432","ブニャット","71","82","64","64","59","112","ノ","-","あついしぼう"," マイペース","まけんき","452","43.8","80"
"433","リーシャン","45","30","50","65","50","45","超","-","ふゆう","-","-","285","0.6","20"
"434","スカンプー","63","63","47","41","41","74","毒","悪","あくしゅう"," ゆうばく","するどいめ","329","19.2","40"
"435","スカタンク","103","93","67","71","61","84","毒","悪","あくしゅう"," ゆうばく","するどいめ","479","38","60"
"436","ドーミラー","57","24","86","24","86","23","鋼","超","ふゆう"," たいねつ","ヘヴィメタル","300","60.5","80"
"437","ドータクン","67","89","116","79","116","33","鋼","超","ふゆう"," たいねつ","ヘヴィメタル","500","187","100"
"438","ウソハチ","50","80","95","10","45","10","岩","-","がんじょう"," いしあたま","びびり","290","15","40"
"439","マネネ","20","25","45","70","90","60","超","妖","ぼうおん"," フィルター","テクニシャン","310","13","40"
"440","ピンプク","100","5","5","15","65","30","ノ","-","しぜんかいふく"," てんのめぐみ","フレンドガード","220","24.4","40"
"441","ペラップ","76","65","45","92","42","91","ノ","飛","するどいめ"," ちどりあし","はとむね","411","1.9","20"
"442","ミカルゲ","50","92","108","92","108","35","霊","悪","プレッシャー","-","すりぬけ","485","108","100"
"443","フカマル","58","70","45","40","45","42","竜","地","すながくれ","-","さめはだ","300","20.5","40"
"444","ガバイト","68","90","65","50","55","82","竜","地","すながくれ","-","さめはだ","410","56","80"
"445","ガブリアス","108","130","95","80","85","102","竜","地","すながくれ","-","さめはだ","600","95","80"
"445-1","メガガブリアス","108","170","115","120","95","92","竜","地","すなのちから","-","-","700","95","80"
"446","ゴンベ","135","85","40","40","85","5","ノ","-","ものひろい"," あついしぼう","くいしんぼう","390","105","100"
"447","リオル","40","70","40","35","40","60","格","-","ふくつのこころ"," せいしんりょく","いたずらごころ","285","20.2","40"
"448","ルカリオ","70","110","70","115","70","90","格","鋼","ふくつのこころ"," せいしんりょく","せいぎのこころ","525","54","80"
"448-1","メガルカリオ","70","145","88","140","70","112","格","鋼","てきおうりょく","-","-","625","57.5","80"
